SEO-продвижение сайта kirillitsa.ru,Периодичность,Специалист,"Ставка, руб",Рабочие часы,"Цена, руб
без НДС 5%",НДС 5%,Стоимость с учетом НДС 5%
- Написание Meta Description для всех страниц (уникальные описания 150–160 символов с ключевыми словами и CTA),1 раз,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
"- Оптимизация H1–H6 заголовков (проверка иерархии, добавление ключевых слов, устранение пропусков уровней)",1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
- Прописывание alt-атрибутов изображений (описательные alt для всех значимых изображений сайта),1 раз,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
- Оптимизация URL-структуры,1 раз,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
- Настройка внутренней перелинковки,1 раз,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
"- Анализ ссылочного профиля конкурентов
- Формирование стратегии внешнего линкбилдинга и подбор площадок",1 раз,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
"- Подбор площадок, аутрич, размещение внешних ссылок
- Мониторинг ссылочного профиля, отработка токсичных ссылок",ежемесячно,SEO-специалист,"3,200.00",5.00,"16,000.00",800.00,"16,800.00"
"- Доработка / добавление контента на страницы, alt-атрибутов",ежемесячно,SEO-специалист,"3,200.00",12.00,"38,400.00","1,920.00","40,320.00"
- Оптимизация посадочных страниц под новые запросы,ежеквартально,SEO-специалист,"3,200.00",6.00,"19,200.00",960.00,"20,160.00"
Этап 5 - Локальное SEO ,,,,,,,
"- Актуализация  и ведение карточки Яндекс Бизнес (адрес, фото, режим работы)
- Мониторинг NAP-консистентности (название, адрес, телефон)",ежемесячно,SEO-специалист,"3,200.00",5.00,"16,000.00",800.00,"16,800.00"
"- Мониторинг отзывов на площадках (Яндекс, 2ГИС, тематические сайты)
- Формирование реестра существующих отзывов",ежемесячно,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
"- Ответы на отзывы, работа с негативом
- Стимулирование новых положительных отзывов от клиентов",ежемесячно,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
Этап 6 - Аналитика и отчётность,,,,,,,
- Настройка Яндекс Метрики,1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
,,Разработчик,"3,200.00",1.00,"3,200.00",160.00,"3,360.00"
- Подключение Яндекс Вебмастер,1 раз,SEO-специалист,"3,200.00",1.00,"3,200.00",160.00,"3,360.00"
- Настройка отслеживания позиций,1 раз,SEO-специалист,"3,200.00",2.00,"6,400.00",320.00,"6,720.00"
- Ежемесячный отчёт о результатах,ежемесячно,SEO-специалист,"3,200.00",3.00,"9,600.00",480.00,"10,080.00"
- Квартальный стратегический разбор,ежеквартально,SEO-специалист,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
Менеджмент проекта,,,,,,,
"- Координация команды
- Коммуникация с клиентом
- Синхронизация задач и таймлайна",ежемесячно,Менеджер проекта,"3,200.00",4.00,"12,800.00",640.00,"13,440.00"
Предварительная стоимость разовых работ,,,,,"236,800.00","11,840.00","248,640.00"
Ежемесячная стоимость работ,,,,,"140,800.00","7,040.00","147,840.00"
Ежеквартальная стоимость работ,,,,,"44,800.00","2,240.00","47,040.00"
"Внешние расходы (ссылочный бюджет, размещения) — оплачиваются отдельно",,,,,15 000–25 000 ₽/мес,,
"Результат через 1–3 месяца: устранение всех критических ошибок аудита, рост индексации, появление сайта в расширенных сниппетах Яндекса.
Рекомендуемый срок - от 6 месяцев. ",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Сводка трудозатрат,Разово (ч),Ежемесячно (ч),Примечание,,,,
1. Аудит и анализ,16.00,4.00,Разовый полный + квартальный мониторинг,,,,
2. Семантическое ядро,17.00,5.00,Расширение - раз в месяц,,,,
3. Техническая оптимизация,8.50,4.00,"Большая часть - разово, мониторинг - ежемесячно",,,,
4. Оптимизация контента (on-page),23.00,17.00,"Базовая оптимизация - разово, контент - регулярно",,,,
5. Локальное SEO,11.00,11.00,Актуально при наличии офлайн-точек,,,,
6. Аналитика и отчётность,6.00,3.00,"Настройка - разово, отчётность - ежемесячно",,,,
Проектный менеджмент,0.00,4.00,,,,,
ИТОГО,81.50,48.00,Диапазон зависит от размера сайта и ниши,,,,
